시군구,성별,연령대,동반자유형,평점
강원 태백시,남,70세 이상,가족,4.333333333333333
강원 태백시,남,70세 이상,가족이 아닌 경우,3.6666666666666665
강원 태백시,여,15~19세,가족,4.333333333333333
강원 태백시,여,20대,가족이 아닌 경우,4.5
강원 태백시,여,30대,가족,4.0
강원 태백시,여,40대,가족,4.111111111111111
강원 태백시,여,40대,가족이 아닌 경우,4.333333333333333
강원 태백시,여,50대,가족,4.095238095238095
강원 태백시,여,50대,가족이 아닌 경우,3.9166666666666665
강원 태백시,여,60대,가족,3.8666666666666663
강원 태백시,여,60대,가족이 아닌 경우,4.083333333333333
강원 태백시,여,70세 이상,가족이 아닌 경우,4.0
강원 평창군,남,15~19세,가족,3.888888888888889
강원 평창군,남,15~19세,가족이 아닌 경우,3.9333333333333336
강원 평창군,남,20대,가족,4.111111111111111
강원 평창군,남,20대,가족이 아닌 경우,4.155555555555556
강원 평창군,남,30대,가족,4.0256410256410255
강원 평창군,남,30대,가족이 아닌 경우,4.333333333333333
강원 평창군,남,40대,가족,4.052083333333333
강원 평창군,남,40대,가족이 아닌 경우,4.0
강원 평창군,남,50대,가족,4.181818181818182
강원 평창군,남,50대,가족이 아닌 경우,3.944444444444444
강원 평창군,남,60대,가족,3.9444444444444446
강원 평창군,남,60대,가족이 아닌 경우,3.916666666666667
강원 평창군,남,70세 이상,가족,4.166666666666666
강원 평창군,남,70세 이상,가족이 아닌 경우,4.111111111111111
강원 평창군,여,15~19세,가족,4.0
강원 평창군,여,15~19세,가족이 아닌 경우,4.0
강원 평창군,여,20대,가족,4.333333333333333
강원 평창군,여,20대,가족이 아닌 경우,4.095238095238096
강원 평창군,여,30대,가족,4.090909090909091
강원 평창군,여,30대,가족이 아닌 경우,4.185185185185185
강원 평창군,여,40대,가족,4.128205128205128
강원 평창군,여,40대,가족이 아닌 경우,4.333333333333333
강원 평창군,여,50대,가족,4.12962962962963
강원 평창군,여,50대,가족이 아닌 경우,4.277777777777778
강원 평창군,여,60대,가족,4.277777777777778
강원 평창군,여,60대,가족이 아닌 경우,4.25
강원 평창군,여,70세 이상,가족,4.0
강원 평창군,여,70세 이상,가족이 아닌 경우,4.333333333333333
강원 홍천군,남,15~19세,가족,4.066666666666666
강원 홍천군,남,15~19세,가족이 아닌 경우,4.0
강원 홍천군,남,20대,가족,4.0
강원 홍천군,남,20대,가족이 아닌 경우,4.148148148148149
강원 홍천군,남,30대,가족,4.101449275362318
강원 홍천군,남,30대,가족이 아닌 경우,4.238095238095238
강원 홍천군,남,40대,가족,4.135802469135803
강원 홍천군,남,40대,가족이 아닌 경우,4.133333333333334
강원 홍천군,남,50대,가족,3.9777777777777774
강원 홍천군,남,50대,가족이 아닌 경우,4.333333333333333
강원 홍천군,남,60대,가족,3.9444444444444446
강원 홍천군,남,60대,가족이 아닌 경우,4.037037037037037
강원 홍천군,남,70세 이상,가족,4.166666666666666
강원 홍천군,남,70세 이상,가족이 아닌 경우,3.666666666666667
강원 홍천군,여,15~19세,가족,4.333333333333333
강원 홍천군,여,15~19세,가족이 아닌 경우,4.833333333333334
강원 홍천군,여,20대,가족,3.888888888888889
강원 홍천군,여,20대,가족이 아닌 경우,4.128205128205128
강원 홍천군,여,30대,가족,4.208333333333333
강원 홍천군,여,30대,가족이 아닌 경우,4.148148148148148
강원 홍천군,여,40대,가족,4.1
강원 홍천군,여,40대,가족이 아닌 경우,3.9333333333333327
강원 홍천군,여,50대,가족,4.076923076923077
강원 홍천군,여,50대,가족이 아닌 경우,4.055555555555555
강원 홍천군,여,60대,가족,3.6666666666666665
강원 홍천군,여,60대,가족이 아닌 경우,4.166666666666666
강원 홍천군,여,70세 이상,가족,4.0
강원 홍천군,여,70세 이상,가족이 아닌 경우,3.833333333333333
강원 화천군,남,20대,가족이 아닌 경우,3.6666666666666665
강원 화천군,남,30대,가족이 아닌 경우,3.888888888888889
강원 화천군,남,40대,가족,3.8333333333333335
강원 화천군,남,50대,가족,4.0
강원 화천군,남,50대,가족이 아닌 경우,4.0
강원 화천군,남,60대,가족,4.0
강원 화천군,남,70세 이상,가족,4.0
강원 화천군,여,30대,가족,4.666666666666667
강원 화천군,여,40대,가족,3.833333333333333
강원 화천군,여,50대,가족이 아닌 경우,4.166666666666666
강원 화천군,여,60대,가족,4.0
강원 횡성군,남,15~19세,가족,3.6666666666666665
강원 횡성군,남,20대,가족,3.5
강원 횡성군,남,20대,가족이 아닌 경우,4.111111111111111
강원 횡성군,남,30대,가족,4.0
강원 횡성군,남,30대,가족이 아닌 경우,4.0
강원 횡성군,남,40대,가족,3.952380952380952
강원 횡성군,남,40대,가족이 아닌 경우,2.6666666666666665
강원 횡성군,남,50대,가족,4.0
강원 횡성군,남,50대,가족이 아닌 경우,4.0
강원 횡성군,남,60대,가족,4.25
강원 횡성군,남,60대,가족이 아닌 경우,4.0
강원 횡성군,남,70세 이상,가족,4.0
강원 횡성군,여,15~19세,가족,4.166666666666666
강원 횡성군,여,20대,가족,4.0
강원 횡성군,여,20대,가족이 아닌 경우,4.666666666666667
강원 횡성군,여,30대,가족,4.0
강원 횡성군,여,30대,가족이 아닌 경우,4.0
강원 횡성군,여,40대,가족,4.166666666666667
강원 횡성군,여,50대,가족,4.0
강원 횡성군,여,50대,가족이 아닌 경우,5.0
강원 횡성군,여,60대,가족,3.9333333333333327
강원 횡성군,여,60대,가족이 아닌 경우,3.6666666666666665
강원 횡성군,여,70세 이상,가족,4.222222222222222
경기 가평군,남,15~19세,가족,4.0
경기 가평군,남,15~19세,가족이 아닌 경우,4.083333333333333
경기 가평군,남,20대,가족,4.25
경기 가평군,남,20대,가족이 아닌 경우,3.971631205673759
경기 가평군,남,30대,가족,4.0476190476190474
경기 가평군,남,30대,가족이 아닌 경우,4.089743589743589
경기 가평군,남,40대,가족,4.125
경기 가평군,남,40대,가족이 아닌 경우,4.190476190476191
경기 가평군,남,50대,가족,4.1410256410256405
경기 가평군,남,50대,가족이 아닌 경우,3.976190476190476
경기 가평군,남,60대,가족,4.019607843137255
경기 가평군,남,60대,가족이 아닌 경우,4.0
경기 가평군,남,70세 이상,가족,3.888888888888889
경기 가평군,남,70세 이상,가족이 아닌 경우,4.0
경기 가평군,여,15~19세,가족,3.5333333333333328
경기 가평군,여,15~19세,가족이 아닌 경우,4.055555555555555
경기 가평군,여,20대,가족,4.078431372549019
경기 가평군,여,20대,가족이 아닌 경우,4.050632911392405
경기 가평군,여,30대,가족,4.136363636363637
경기 가평군,여,30대,가족이 아닌 경우,4.104166666666667
경기 가평군,여,40대,가족,4.12962962962963
경기 가평군,여,40대,가족이 아닌 경우,4.0144927536231885
경기 가평군,여,50대,가족,4.177777777777778
경기 가평군,여,50대,가족이 아닌 경우,3.966666666666667
경기 가평군,여,60대,가족,4.148148148148149
경기 가평군,여,60대,가족이 아닌 경우,4.188405797101449
경기 가평군,여,70세 이상,가족,4.071428571428571
경기 가평군,여,70세 이상,가족이 아닌 경우,4.138888888888888
경기 고양시,남,15~19세,가족이 아닌 경우,4.0
경기 고양시,남,20대,가족,3.3333333333333335
경기 고양시,남,20대,가족이 아닌 경우,3.923076923076923
경기 고양시,남,30대,가족,3.9696969696969693
경기 고양시,남,30대,가족이 아닌 경우,3.9333333333333336
경기 고양시,남,40대,가족,4.033333333333333
